Chembl_ID,Smiles_ID,Drug_Name,Clinical_Phase,MOA,UniprotID
CHEMBL4855799,,fluspirilene,Launched,dopamine receptor antagonist,P35367
CHEMBL1200986,CCCCCCCCCC(=O)OC1(CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F)C3=CC=C(C=C3)Cl,haloperidol,Launched,dopamine receptor antagonist,P35367
CHEMBL1533310,C1=C(NC=N1)CCN.Cl.Cl,histamine,Launched,histamine receptor agonist,P35367
CHEMBL1515447,CN1CCCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,homochlorcyclizine,Launched,antihistamine,P35367
CHEMBL1200467,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O,hydroxyzine,Launched,antihistamine,P35367
CHEMBL14376,CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC,iloperidone,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P35367
CHEMBL1692,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,imipramine,Launched,norepinephrine reputake inhibitor|serotonin reuptake inhibitor,P35367
CHEMBL1633,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1.C(=C/C(=O)O)\C(=O)O,ketotifen,Launched,histamine receptor agonist|leukotriene receptor antagonist|phosphodiesterase inhibitor,P35367
CHEMBL2105703,CC1=CC2=C(C=C1)N(C3=C2CN(CC3)C)CCC4=CN=C(C=C4)C.Cl.Cl,latrepirdine,Phase 3,glutamate receptor antagonist,P35367
CHEMBL1615438,C[C@@H]1CN(CC[C@@]1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F,levocabastine,Launched,histamine receptor antagonist,P35367
CHEMBL1201191,C1CN(CCN1CCOCC(=O)O)[C@H](C2=CC=CC=C2)C3=CC=C(C=C3)Cl,levocetirizine,Launched,histamine receptor antagonist,P35367
CHEMBL2104973,C[C@@H](CN1C2=CC=CC=C2SC3=C1C=C(C=C3)OC)CN(C)C.Cl,levomepromazine,Launched,dopamine receptor antagonist,P35367
CHEMBL1367006,C1CN2CCC1[C@H](C2)CN3C4=CC=CC=C4SC5=CC=CC=C53,levomequitazine,Phase 2,histamine receptor antagonist,P35367
CHEMBL4859181,,loratadine,Launched,histamine receptor antagonist,P35367
CHEMBL1201155,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl.C(CC(=O)O)C(=O)O,loxapine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P35367
CHEMBL511,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2,mepyramine,Launched,histamine receptor antagonist,P35367
CHEMBL1411979,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2,methapyrilene,Withdrawn,histamine receptor antagonist,P35367
CHEMBL544428,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42.Cl,mianserin,Launched,serotonin receptor antagonist,P35367
CHEMBL4863323,,mizolastine,Launched,histamine receptor antagonist,P35367
CHEMBL1200419,CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C.Cl,molindone,Launched,dopamine receptor antagonist,P35367
CHEMBL1201156,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,nortriptyline,Launched,tricyclic antidepressant,P35367
CHEMBL3989694,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C.C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O.O,olanzapine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P35367
CHEMBL1189432,CN(C)CC/C=C\1/C2=CC=CC=C2COC3=C1C=C(C=C3)CC(=O)O,olopatadine,Launched,histamine receptor antagonist,P35367
CHEMBL4875902,,oxatomide,Launched,histamine receptor antagonist,P35367
CHEMBL1201050,CC1=CC=CN2C1=NC=C(C2=O)C3=NN=N[N-]3.[K+],pemirolast,Launched,mediator release inhibitor,P35367
CHEMBL567,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,perphenazine,Launched,dopamine receptor antagonist,P35367
CHEMBL2107213,CN1CCC2=C(C1)C(C3=CC=CC=C23)C4=CC=CC=C4.C(C(C(=O)O)O)(C(=O)O)O,phenindamine,Launched,histamine receptor antagonist,P35367
CHEMBL1653,CN(C)CCC(C1=CC=CC=C1)C2=CC=CC=N2.C(=C\C(=O)O)\C(=O)O,pheniramine,Launched,histamine receptor antagonist,P35367
CHEMBL4864779,,pimozide,Launched,dopamine receptor antagonist,P35367
CHEMBL440294,C1CCN(CC1)C2(CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F)C(=O)N,pipamperone,Launched,dopamine receptor antagonist,P35367
CHEMBL1200469,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,promazine,Launched,dopamine receptor antagonist,P35367
CHEMBL1200750,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl,promethazine,Launched,histamine receptor antagonist,P35367
CHEMBL3188993,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42.C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42.C(=C/C(=O)O)\C(=O)O,quetiapine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P35367
CHEMBL4850212,,risperidone,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P35367
CHEMBL4857900,,rupatadine,Launched,histamine receptor antagonist|platelet activating factor receptor antagonist,P35367
CHEMBL4851845,,sertindole,Withdrawn,dopamine receptor antagonist|serotonin receptor antagonist,P35367
CHEMBL2104895,CN1CCC2=C(C1)C3=CC=CC=C3CC4=CC=CC=C24,setiptiline,Launched,adrenergic receptor antagonist,P35367
CHEMBL4858222,,terfenadine,Withdrawn,histamine receptor antagonist,P35367
CHEMBL1200916,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC.Cl,thioridazine,Withdrawn,dopamine receptor antagonist,P35367
CHEMBL1200902,CN1CCN(CC1)CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C.Cl,thiothixene,Launched,dopamine receptor antagonist,P35367
CHEMBL1689,C1CN=C(N1)CC2=CC=CC=C2.Cl,tolazoline,Launched,adrenergic receptor antagonist,P35367
CHEMBL415324,COC1=C(C=C(C=C1)/C=C/C(=O)NC2=CC=CC=C2C(=O)O)OC,tranilast,Launched,angiogenesis inhibitor,P35367
CHEMBL1200798,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl.Cl,trazodone,Launched,adrenergic receptor antagonist|serotonin receptor antagonist|serotonin reuptake inhibitor,P35367
CHEMBL1257040,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl,trifluoperazine,Launched,dopamine receptor antagonist,P35367
CHEMBL1200446,CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2.Cl,tripelennamine,Launched,histamine receptor antagonist,P35367
CHEMBL3188034,CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC=N3.O.Cl,triprolidine,Launched,histamine receptor antagonist,P35367
CHEMBL1615374,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N.Cl,vilazodone,Launched,serotonin reuptake inhibitor,P35367
CHEMBL1375743,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54.O.Cl,ziprasidone,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P35367
CHEMBL285802,CN(C)CCOC1=CC2=CC=CC=C2SC3=C1C=C(C=C3)Cl,zotepine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P35367
CHEMBL2360084,C1CN(CCN1CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO.Cl.Cl,zuclopenthixol,Launched,dopamine receptor antagonist,P35367
CHEMBL4855236,,2-pyridylethylamine,Preclinical,histamine receptor agonist,P35367
CHEMBL4869430,,ABT-239,Phase 1,histamine receptor antagonist,P25021
CHEMBL1200964,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,amitriptyline,Launched,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),P25021
CHEMBL293762,CC1=C(SC(=N1)N)CCN,amthamine,Preclinical,histamine receptor agonist,P25021
CHEMBL1200949,C1=C(NN=C1)CCN.Cl,betazole,Launched,histamine receptor agonist,P25021
CHEMBL4857013,,cimetidine,Launched,histamine receptor antagonist,P25021
CHEMBL4869322,,clobenpropit,Preclinical,histamine receptor antagonist,P25021
CHEMBL12344,CN(C)CCCSC(=N)N,dimaprit,Preclinical,histamine receptor agonist,P25021
CHEMBL1742471,C1=CC(=CC=C1S(=O)(=O)NC=NCCSCC2=CSC(=N2)N=C(N)N)Br,ebrotidine,Withdrawn,histamine receptor antagonist,P25021
CHEMBL902,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N,famotidine,Launched,histamine receptor antagonist,P25021
CHEMBL1533310,C1=C(NC=N1)CCN.Cl.Cl,histamine,Launched,histamine receptor agonist,P25021
CHEMBL4875713,,ICI-162846,Phase 1,histamine receptor antagonist,P25021
CHEMBL1742461,C1CCN(CC1)CC2=CC(=NC=C2)OC/C=C\CNC(=O)CS(=O)CC3=CC=CO3,lafutidine,Launched,histamine receptor antagonist,P25021
CHEMBL1201155,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl.C(CC(=O)O)C(=O)O,loxapine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P25021
CHEMBL1200988,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13.[Br-],methantheline,Launched,acetylcholine receptor antagonist,P25021
CHEMBL544428,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42.Cl,mianserin,Launched,serotonin receptor antagonist,P25021
CHEMBL653,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CSC(=N1)CN(C)C,nizatidine,Launched,histamine receptor antagonist,P25021
CHEMBL3989694,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C.C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O.O,olanzapine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P25021
CHEMBL512,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C,ranitidine,Launched,histamine receptor antagonist,P25021
CHEMBL2104871,CC(=O)OCC(=O)NCCCOC1=CC=CC(=C1)CN2CCCCC2.Cl,roxatidine-acetate,Launched,histamine receptor antagonist,P25021
CHEMBL4871754,,tiotidine,Phase 2,histamine receptor antagonist,P25021
CHEMBL1689,C1CN=C(N1)CC2=CC=CC=C2.Cl,tolazoline,Launched,adrenergic receptor antagonist,P25021
CHEMBL4863034,,WAY-207024,Preclinical,gonadotropin releasing factor hormone receptor antagonist,P25021
CHEMBL4872923,,zaltidine,Phase 3,histamine receptor antagonist,P25021
CHEMBL4869430,,ABT-239,Phase 1,histamine receptor antagonist,Q9Y5N1
CHEMBL4874703,,alpha-methylhistamine-dihydrobromide-(R)-(-),Preclinical,histamine receptor agonist,Q9Y5N1
CHEMBL4855683,,alpha-methylhistamine-dihydrobromide-(S)-(+),Preclinical,histamine receptor agonist,Q9Y5N1
CHEMBL2103862,C1CC1N2CCN(CC2)C(=O)C3=CC=C(C=C3)CN4CCOCC4,bavisant,Phase 2,histamine receptor antagonist,Q9Y5N1
CHEMBL1446813,CNCCC1=CC=CC=N1.Cl.Cl,betahistine,Launched,histamine receptor agonist|histamine receptor antagonist,Q9Y5N1
CHEMBL128672,C1CC1C(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=C\C(=O)O)\C(=O)O,ciproxifan,Preclinical,histamine receptor antagonist,Q9Y5N1
CHEMBL4869322,,clobenpropit,Preclinical,histamine receptor antagonist,Q9Y5N1
CHEMBL12344,CN(C)CCCSC(=N)N,dimaprit,Preclinical,histamine receptor agonist,Q9Y5N1
CHEMBL1533310,C1=C(NC=N1)CCN.Cl.Cl,histamine,Launched,histamine receptor agonist,Q9Y5N1
CHEMBL1490875,C1=C(NC=N1)CCSC(=N)N.Br.Br,imetit,Preclinical,histamine receptor agonist,Q9Y5N1
CHEMBL5077041,C1CNCCC1CC2=CN=CN2.Br.Br,immepip,Preclinical,histamine receptor agonist,Q9Y5N1
CHEMBL82298,C1=CN=CC=C1CC2=CN=CN2,immethridine,Phase 1,histamine receptor agonist,Q9Y5N1
CHEMBL4869992,,impentamine,Preclinical,histamine receptor antagonist,Q9Y5N1
CHEMBL4854360,,iodophenpropit,Preclinical,histamine receptor antagonist,Q9Y5N1
CHEMBL4164059,C1CCN(CC1)CCCOCCCC2=CC=C(C=C2)Cl.Cl,pitolisant,Launched,histamine receptor antagonist,Q9Y5N1
CHEMBL19173,C1=CC=C(C=C1)COCCCC2=CN=CN2,proxyfan,Preclinical,histamine receptor modulator,Q9Y5N1
CHEMBL1256702,C1CCC(CC1)NC(=S)N2CCC(CC2)C3=CN=CN3.C(=C\C(=O)O)\C(=O)O,thioperamide,Preclinical,histamine receptor antagonist,Q9Y5N1
CHEMBL4854531,,ABT-491,Phase 1,platelet activating factor receptor antagonist,P25105
CHEMBL2074496,,apafant,Phase 3,platelet activating factor receptor antagonist,P25105
CHEMBL1628662,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CSC(=N2)N(CCN(C)C)CC3=CN=CC=C3)C(C)C,foropafant,Phase 3,platelet activating factor receptor antagonist,P25105
CHEMBL1590048,C[C@@H]1C(=C(NC(=C1C(=O)OCCSC2=CC=CC=C2)C)C)C(=O)OC,PCA-4248,Phase 1,platelet activating factor receptor antagonist,P25105
CHEMBL4857900,,rupatadine,Launched,histamine receptor antagonist|platelet activating factor receptor antagonist,P25105
CHEMBL3590674,C1C[C@@H]2CN(CCN2C1)C(=O)C3=CC(=C(C=C3Cl)F)S(=O)(=O)NC4=CC=CC=C4F,ABT-639,Phase 2,calcium channel blocker,O43497
CHEMBL3638052,CCCCC/C=C\C/C=C\C/C=C/C/C=C\CCCC(=O)NCCO,anandamide,Phase 2,cannabinoid receptor agonist,O43497
CHEMBL2105555,CC1=C([C@H](C(=C(N1)C)C(=O)O[C@@H]2CCCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC,benidipine,Launched,calcium channel blocker,O43497
CHEMBL696,CCC1(CC(=O)NC1=O)C,ethosuximide,Launched,succinimide antiepileptic,O43497
CHEMBL552659,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl,flunarizine,Launched,calcium channel blocker,O43497
CHEMBL1628502,CC(C)C(=O)OC(C)OC(=O)NCC1(CCCCC1)CC(=O)O,gabapentin,Launched,calcium channel blocker,O43497
CHEMBL1628502,CC(C)C(=O)OC(C)OC(=O)NCC1(CCCCC1)CC(=O)O,gabapentin-enacarbil,Launched,adrenergic receptor agonist,O43497
CHEMBL4854920,,methsuximide,Launched,T-type calcium channel blocker,O43497
CHEMBL1534525,CC(C)[C@H]1C2=C(CC[C@@]1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F.Cl.Cl,mibefradil,Withdrawn,T-type calcium channel blocker,O43497
CHEMBL4535646,CC(C)(C)CCN1CC2C(C1)C2CNC(=O)C3=CC(=CC(=C3)Cl)Cl,ML218,Preclinical,T-type calcium channel blocker,O43497
CHEMBL1100,CCC1(C(=O)N(C(=O)O1)C)C,paramethadione,Launched,anticonvulsant,O43497
CHEMBL4257579,,penfluridol,Launched,T-type calcium channel blocker,O43497
CHEMBL1562223,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,spironolactone,Launched,mineralocorticoid receptor antagonist,O43497
CHEMBL695,CC1(C(=O)N(C(=O)O1)C)C,trimethadione,Launched,oxazolidine antiepileptic,O43497
CHEMBL1280,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl,verapamil,Launched,calcium channel blocker,O43497
CHEMBL750,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,zonisamide,Launched,sodium channel blocker|T-type calcium channel blocker,O43497
CHEMBL3590674,C1C[C@@H]2CN(CCN2C1)C(=O)C3=CC(=C(C=C3Cl)F)S(=O)(=O)NC4=CC=CC=C4F,ABT-639,Phase 2,calcium channel blocker,O95180
CHEMBL1083993,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl,amiodarone,Launched,potassium channel blocker,O95180
CHEMBL3638052,CCCCC/C=C\C/C=C\C/C=C/C/C=C\CCCC(=O)NCCO,anandamide,Phase 2,cannabinoid receptor agonist,O95180
CHEMBL696,CCC1(CC(=O)NC1=O)C,ethosuximide,Launched,succinimide antiepileptic,O95180
CHEMBL552659,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl,flunarizine,Launched,calcium channel blocker,O95180
CHEMBL1628502,CC(C)C(=O)OC(C)OC(=O)NCC1(CCCCC1)CC(=O)O,gabapentin,Launched,calcium channel blocker,O95180
CHEMBL4854920,,methsuximide,Launched,T-type calcium channel blocker,O95180
CHEMBL1534525,CC(C)[C@H]1C2=C(CC[C@@]1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F.Cl.Cl,mibefradil,Withdrawn,T-type calcium channel blocker,O95180
CHEMBL4535646,CC(C)(C)CCN1CC2C(C1)C2CNC(=O)C3=CC(=CC(=C3)Cl)Cl,ML218,Preclinical,T-type calcium channel blocker,O95180
CHEMBL4855821,,nifedipine,Launched,calcium channel blocker,O95180
CHEMBL1562223,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,spironolactone,Launched,mineralocorticoid receptor antagonist,O95180
CHEMBL695,CC1(C(=O)N(C(=O)O1)C)C,trimethadione,Launched,oxazolidine antiepileptic,O95180
CHEMBL750,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,zonisamide,Launched,sodium channel blocker|T-type calcium channel blocker,O95180
CHEMBL3590674,C1C[C@@H]2CN(CCN2C1)C(=O)C3=CC(=C(C=C3Cl)F)S(=O)(=O)NC4=CC=CC=C4F,ABT-639,Phase 2,calcium channel blocker,Q9P0X4
CHEMBL3638052,CCCCC/C=C\C/C=C\C/C=C/C/C=C\CCCC(=O)NCCO,anandamide,Phase 2,cannabinoid receptor agonist,Q9P0X4
CHEMBL696,CCC1(CC(=O)NC1=O)C,ethosuximide,Launched,succinimide antiepileptic,Q9P0X4
CHEMBL552659,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl,flunarizine,Launched,calcium channel blocker,Q9P0X4
CHEMBL1628502,CC(C)C(=O)OC(C)OC(=O)NCC1(CCCCC1)CC(=O)O,gabapentin,Launched,calcium channel blocker,Q9P0X4
CHEMBL4854920,,methsuximide,Launched,T-type calcium channel blocker,Q9P0X4
CHEMBL1534525,CC(C)[C@H]1C2=C(CC[C@@]1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F.Cl.Cl,mibefradil,Withdrawn,T-type calcium channel blocker,Q9P0X4
CHEMBL4535646,CC(C)(C)CCN1CC2C(C1)C2CNC(=O)C3=CC(=CC(=C3)Cl)Cl,ML218,Preclinical,T-type calcium channel blocker,Q9P0X4
CHEMBL4864779,,pimozide,Launched,dopamine receptor antagonist,Q9P0X4
CHEMBL1562223,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,spironolactone,Launched,mineralocorticoid receptor antagonist,Q9P0X4
CHEMBL695,CC1(C(=O)N(C(=O)O1)C)C,trimethadione,Launched,oxazolidine antiepileptic,Q9P0X4
CHEMBL1280,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl,verapamil,Launched,calcium channel blocker,Q9P0X4
CHEMBL750,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,zonisamide,Launched,sodium channel blocker|T-type calcium channel blocker,Q9P0X4
CHEMBL4858753,,ABT-702,Preclinical,adenosine kinase inhibitor,P55263
CHEMBL1775011,C1=CC=C(C=C1)C2=NC3=C(N=CN=C3N2[C@H]4[C@@H]([C@@H]([C@H](O4)COP(=O)(O)O)O)O)N,adenosine-phosphate,Launched,adenosine receptor agonist,P55263
CHEMBL4851831,,ribavirin,Launched,antiviral,P55263
CHEMBL4870638,,ABT-737,Phase 1/Phase 2,BCL inhibitor,P10415
CHEMBL92,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,docetaxel,Launched,tubulin polymerization inhibitor,P10415
CHEMBL4877105,,edaravone,Launched,nootropic agent,P10415
CHEMBL555017,CC(=CCC[C@@]1(C=CC2=C(C3=C(C(=C2O1)CC=C(C)C)O[C@@]45[C@H]6C[C@@H](C=C4C3=O)C(=O)[C@@]5(OC6(C)C)C/C=C(/C)\C(=O)O)O)C)C,gambogic-acid,Phase 2,caspase activator,P10415
CHEMBL4856269,,gossypol,Phase 2,BCL inhibitor|MCL1 inhibitor,P10415
CHEMBL4303144,CCOC(=O)C1=C(OC2=C([C@H]1[C@H](C#N)C(=O)OCC)C=C(C=C2)Br)N,HA14-1,Preclinical,BCL inhibitor,P10415
CHEMBL2105690,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C.Cl.Cl,navitoclax,Phase 2,BCL inhibitor,P10415
CHEMBL4525540,CC1=CC(=C(N1)/C=C\2/C(=C/C(=C/3\C=C4C=CC=CC4=N3)/N2)OC)C,obatoclax,Phase 3,BCL inhibitor,P10415
CHEMBL454570,CC1(CC[C@@H]([C@]23[C@@H]1[C@@H]([C@@]([C@]45[C@H]2CC[C@H]([C@H]4O)C(=C)C5=O)(OC3)O)O)O)C,oridonin,Preclinical,BCL inhibitor,P10415
CHEMBL100910,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,paclitaxel,Launched,tubulin polymerization inhibitor,P10415
CHEMBL887,C#CCN[C@@H]1CCC2=CC=CC=C12,rasagiline,Launched,monoamine oxidase inhibitor,P10415
CHEMBL4865794,,TW-37,Preclinical,BCL inhibitor,P10415
CHEMBL3970001,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC(=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NCC5CCOCC5)[N+](=O)[O-])OC6=CN=C7C(=C6)C=CN7)C8=CC=C(C=C8)Cl)C,venetoclax,Launched,BCL inhibitor,P10415
CHEMBL4870638,,ABT-737,Phase 1/Phase 2,BCL inhibitor,Q07817
CHEMBL2105690,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C.Cl.Cl,navitoclax,Phase 2,BCL inhibitor,Q07817
CHEMBL4865794,,TW-37,Preclinical,BCL inhibitor,Q07817
CHEMBL1356094,C1=CC(=C(C(=C1)Cl)Cl)OCCCNCCO,"2,3-DCPE",Preclinical,BCL-XL downregulator,Q07817
CHEMBL4870638,,ABT-737,Phase 1/Phase 2,BCL inhibitor,Q92843
CHEMBL2105690,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C.Cl.Cl,navitoclax,Phase 2,BCL inhibitor,Q92843
CHEMBL4869868,,ABT-751,Phase 2,tubulin polymerization inhibitor,P07437
CHEMBL1483,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,albendazole,Launched,tubulin polymerization inhibitor,P07437
CHEMBL4823266,,cabazitaxel,Launched,microtubule inhibitor,P07437
CHEMBL70971,COC(=O)NC1=NC2=CC=CC=C2N1,carbendazim,Launched,microtubule inhibitor|tubulin polymerization inhibitor,P07437
CHEMBL4879257,,cevipabulin,Phase 1,microtubule stimulant|tubulin polymerization inhibitor,P07437
CHEMBL107,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,colchicine,Launched,microtubule inhibitor,P07437
CHEMBL552212,CCC[C@@H](C1=CN=CC=C1)NC2=NC(=NC=C2C)C3=CC(=C(C=C3)NC(=O)NCC)OC,CYT-997,Phase 2,tubulin polymerization inhibitor,P07437
CHEMBL4859004,,D-64131,Preclinical,microtubule inhibitor,P07437
CHEMBL92,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,docetaxel,Launched,tubulin polymerization inhibitor,P07437
CHEMBL39541,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@@H]([C@@H](C)C(=O)N[C@@H](CC2=CC=CC=C2)C3=NC=CS3)OC)OC)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)N(C)C,dolastatin-10,Phase 2,tubulin polymerization inhibitor,P07437
CHEMBL4303268,C[C@H]1CCC[C@@]2([C@@H](O2)C[C@@H](OC(=O)C[C@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C)C,epothilone-B,Phase 3,microtubule stabilizing agent|tubulin polymerization inhibitor,P07437
CHEMBL96172,C[C@H]1CCC/C(=C\C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C2=CSC(=N2)C)/C)/C,epothilone-D,Phase 2,microtubule stabilizing agent|tubulin polymerization inhibitor,P07437
CHEMBL37161,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,fenbendazole,Launched,tubulin polymerization inhibitor,P07437
